category,title,link,content
Business,"
                     Industry minister engages businesses over ZiG
                    ",https://www.newsday.co.zw/business/article/200026633/industry-minister-engages-businesses-over-zig,"
                He toured a US$5,6 million pasta manufacturing plant and a US$7,7 million biscuit making line.
              "
Business,"
                     Invictus identifies multiple gas potentials
                    ",https://www.newsday.co.zw/author/5236/tatira-zwinoira,"
                The reservoir rock, according to experts, is the porous, permeable rock layer that hold the oil and gas.
              "
Business,"
                     General Beltings seeks to consolidate market position
                    ",https://www.newsday.co.zw/author/6312/blessed-ndlovu,"
                Due to geopolitical tensions, mineral reserves will flood the markets and depress demand for minerals that Zimbabwe would ordinarily supply.
              "
Business,"
                     London firm targets bulk-mining in Zim
                    ",https://www.newsday.co.zw/business/article/200026603/invictus-identifies-multiple-gas-potentials,"
                This is expected to enable it to test the potential for a bulk mineable gold deposit across the entire shear zone at both prospects.
              "
Business,"
                     WestProp plots mega capital raise
                    ",https://www.newsday.co.zw/author/5245/mthandazo-nyoni,"
                He said the lesson learnt from last year was that WestProp was supposed to do a book building exercise to whet the market’s appetite about the IPO.
              "
Business,"
                     Econet says it wants to make all remittances into Zimbabwe free
                    ",https://www.newsday.co.zw/business/article/200026600/general-beltings-seeks-to-consolidate-market-position,"
                Econet’s group chief executive, Douglas Mboweni, said the initiative would remain in place for some time
              "
Business,"
                     We’ll soar like an eagle: Zimre
                    ",https://www.newsday.co.zw/author/5226/melody-chikono,"
                The group’s healthy balance sheet position is evidence of its resilience and commitment to provide its stakeholders with security, growth and profitability.
              "
Business,"
                     Fidelity profit rises by 1 000%
                    ",https://www.newsday.co.zw/business/article/200026599/london-firm-targets-bulk-mining-in-zim,"
                In terms of assets, these were valued at ZWL$483,77 billion, up nearly 79% from the 2022 comparative, driven by investment properties.
              "
Business,"
                     Govt introduces fresh tax to keep forex inland
                    ",https://www.newsday.co.zw/author/5226/melody-chikono,"
                Ncube also introduced new charges for withdrawing ZiG and on local currency transactions.
              "
Business,"
                     The Top 5 Container Shipping Companies In The World
                    ",https://www.newsday.co.zw/business/article/200026602/westprop-plots-mega-capital-raise,"
                Container shipping is at the core of the global economy, with this industry
              "
Business,"
                     ZCTU mourns over low wages
                    ",https://www.newsday.co.zw/author/5365/business-reporter,"
                The letter indicated that any failure on the part of the employment council to comply with those requirements constitutes justifiable grounds for the registrar to cancel a certificate.
              "
Business,"
                     ‘Entrepreneurs need to enter into alliances’
                    ",https://www.newsday.co.zw/business/article/200026610/econet-says-it-wants-to-make-all-remittances-into-zimbabwe-free,"
                Tsokodayi also said entrepreneurs should see micro-finance institutions as partners rather than loan sharks.
              "
Business,"
                     CBZ to monitor risks to protect 330% profit
                    ",https://www.newsday.co.zw/author/5200/donald-nyandoro,"
                Increased lending and financial securities helped grow CBZ’s total assets to ZWL8,25 trillion at the end of last year, an increase of nearly 80% from 2022.
              "
Business,"
                     African Sun flush with cash for capital investments
                    ",https://www.newsday.co.zw/business/article/200026566/well-soar-like-an-eagle-zimre,"
                The commitment comes after the firm increased its capital commitments last year to US$11,01 million, up 20,22% on the 2022 figures.
              "
Business,"
                     Watch ZiG closely: Fews Net
                    ",https://www.newsday.co.zw/author/5245/mthandazo-nyoni,"
                Last month saw the introduction of the ZiG, replacing the battered Zimdollar that had experienced a sharp depreciation.
              "
Business,"
                     WestProp unveils US$300m mixed-use estate in urban renewal push
                    ",https://www.newsday.co.zw/business/article/200026573/fidelity-profit-rises-by-1-000,"
                WestProp roped in renowned golf course designer Peter Matkovich and top  architect Joan Balagué Capdet to the project.
              "
Business,"
                     RTG Abridged financial results year ended 31 Decemeber  2023
                    ",https://www.newsday.co.zw/author/6310/belinda-chiroodza,"
                rgt consolidated financials
              "
