category,title,link,content,author,date
Business,,,The VFEX said  trading  in BNC shares was suspended with effect from Friday.,Tatira Zwinoira,By
Business,,,,Blessed Ndlovu,By
Business,,,,Tafadzwa Mhlanga,By
Business,,,"Yes, that why many of us have a phobia when it comes to this area from a household to national level.",Farai Chigora,By
Business,,,The EU brought six member states to participate at this year’s trade showcase.,Mthandazo Nyoni,By
Business,,,"Take, for instance, the illustrious case of China, where asset management juggernauts have embraced real estate investment as the fulcrum of their investment strategies.",Bekithemba Mpofu,By
Business,,,"Specifically, he said alignment was needed between the factor and the central bank before engaging in the transaction.",Belinda Chiroodza,By
Business,,,The proposed legislation seeks to establish a system where mining information would be captured in real time.,Blessed Ndlovu,By
Business,,,Reserve Bank of Zimbabwe governor John Mushayavanhu says the ZiG will gain more acceptance with time and this will reduce demand for US dollars.,Tafadzwa Mhlanga,By
Business,,,"Mutogo said by embracing sustainable banking practices, banks can contribute to the country’s sustainable economic growth while addressing the urgent need for climate action.",Belinda Chiroodza,By
Business,,,"Zimbabwe has been exporting mineral fuels, iron and steel products and articles of paper, to Zambia while importing cereals, beverages and ceramic products from its neighbour.",Mthandazo Nyoni,By
Business,,,Proton Bakers chief operations officer Simba Bodzo spoke about the company’s plans for the year in a messaged response to Standardbusiness following a tour of the plant,Belinda Chiroodza,By
Business,,,"Days after the currency was introduced, black market dealers who hold big sums of United States dollar stocks, pegged it at US$1:ZiG18 against the official rate of US$1:ZiG13,56.",Freeman Makopa,By
Business,,,"Chihota gave thumbs up to the parent association, ZBCA, for coming up with such an initiative.",Staff Reporter,By
Business,,,"Zimbabwe Chamber of SMEs secretary general Valencio Kurauone said the money came from their members, mainly, the youth, widows, men, and women of Chiredzi.",Tafadzwa Mhlanga,By
Business,,,That is the same reason they are surprised when after establishing a sturdy brand the venture falls into financial distress.,Farai Chigora,By
Business,,,"As the Zimbabwe market adapts to the yet another currency, Zimbabwe Gold (ZiG), the RBZ has availed US$285 million to shore up the local currency.",Melody Chikono,By
Business,,,InnBucks has determined the functional currency as the United States dollar.,Tatira Zwinoira,By
Business,,,"Prosper Matondi, permanent secretary in the ministry of Environment, Climate and Wildlife, said the government had an array of radars that have been installed in about five locations.",Melody Chikono,By
Business,,,Enhancing transparency and fortifying data aggregation mechanisms assumes paramount importance in buttressing investor confidence and catalysing capital inflows into the real estate ambit.,Bekithemba Mpofu,By
Business,,,he surge of interest in forex trading within Tanzania has led to a proliferation of feature-rich mobile trading apps,The Standard,By
Business,,,Mushayavanhu also said the bank will continue to maintain a tight monetary policy stance to ensure sustainability of the monetary anchor to control excessive money printing,Mthandazo Nyoni,By
Business,,,"Ncube said the operators feel that there are too many taxes being applied, adding for every dollar earned, US$0,35 went towards taxes.",Melody Chikono,By
Business,,,AFDB chief economist and vice president for economic governance and knowledge management Kevin Urama said the best way to address debt was to grow the economy.,Melody Chikono,By
Business,,,"Bhoroma further stated that the regulator, Insurance and Pensions Commission, will now have a situation where the government is the lawmaker through Parliament.",Melody Chikono,By
Business,,,"The company, which was founded in 1987 has continued to demonstrate professionalism and commitment to excellence.",Takemore Mazuruse,By
Business,,,"However, the viability of ZiG hinges crucially on its embracement by both populace and enterprises.",Bekithemba Mpofu,By
Business,,,"As aforementioned, there is always a need to strike a balance between market demand and supply by our entrepreneurs.",Dr Farai Chigora,By
Business,,,"Mutsvangwa welcomed the progressive partnership, which started last year and urged stronger ties between the two partners towards wholesome women emancipation.",Own Correspondent,By
Obituaries,,,,,By The Standard
Obituaries,,,,,By The Standard
Obituaries,,,,,By The Standard
Obituaries,,,,,By The Standard
Obituaries,,,,,By The Standard
Obituaries,,,,,By The Standard
Obituaries,,,,,By The Standard
Obituaries,,,,,By The Standard
Obituaries,,,,,By The Standard
Obituaries,,,,,By The Standard
Obituaries,,,,,By The Standard
