category,title,link,content
Sports,"
					Arsenal Edges Manchester United to Keep Premier League Title Race Alive				",https://www.thezimbabwemail.com/sports/arsenal-edges-manchester-united-to-keep-premier-league-title-race-alive/,"Manchester,— The Premier League title race is heading for a thrilling climax as Arsenal reclaimed "
Sports,"
					Lovro Zvonarek Scores Debut Bundesliga Goal as Bayern Munich Secures Victory				",https://www.thezimbabwemail.com/sports/lovro-zvonarek-scores-debut-bundesliga-goal-as-bayern-munich-secures-victory/,"Berlin,— Lovro Zvonarek made an electrifying Bundesliga debut on Sunday, scoring minutes into his first "
Sports,"
					Kylian Mbappé Receives Mixed Reception from Paris Saint-Germain Fans in Farewell Home Game				",https://www.thezimbabwemail.com/sports/kylian-mbappe-receives-mixed-reception-from-paris-saint-germain-fans-in-farewell-home-game/,"Paris,— Paris Saint-Germain’s star forward Kylian Mbappé experienced a bittersweet farewell from fans during his "
Sports,"
					Real Madrid Celebrates Spanish League Triumph in Festive Parade				",https://www.thezimbabwemail.com/sports/real-madrid-celebrates-spanish-league-title-with-fans-after-reaching-champions-league-final/,"Madrid,— Real Madrid, the Spanish football powerhouse, celebrated its 36th league title triumph in style "
Sports,"
					Kylian Mbappe Announces Departure from PSG, Speculation Mounts Over Real Madrid Move				",https://www.thezimbabwemail.com/sports/kylian-mbappe-announces-departure-from-psg-speculation-mounts-over-real-madrid-move/,"PARIS – In a heartfelt video message shared on social media platform X, French soccer "
Sports,"
					Vinicius Jr Impresses Manager Ancelotti Ahead of Potential Ballon d’Or Triumph				",https://www.thezimbabwemail.com/sports/vinicius-jr-impresses-manager-ancelotti-ahead-of-potential-ballon-dor-triumph/,MADRID – Real Madrid’s dynamic forward Vinicius Jr has captured the attention of fans and 
Sports,"
					Guardiola Praises Arsenal’s Title Challenge as Man City Gear Up for Fulham Clash				",https://www.thezimbabwemail.com/sports/guardiola-praises-arsenals-title-challenge-as-man-city-gear-up-for-fulham-clash/,MANCHESTER – Manchester City manager Pep Guardiola has drawn comparisons between Arsenal’s title challenge this 
Sports,"
					Erik ten Hag Acknowledges Impact of Injuries Amid Speculation Over Future				",https://www.thezimbabwemail.com/sports/erik-ten-hag-acknowledges-impact-of-injuries-amid-speculation-over-future/,"MANCHESTER – Manchester United’s manager, Erik ten Hag, addressed concerns about the club’s underwhelming season "
Sports,"
					National Sports Stadium Renovations Face Setbacks, No Clear Timeline Provided				",https://www.thezimbabwemail.com/sports/national-sports-stadium-renovations-face-setbacks-no-clear-timeline-provided/,HARARE – The optimism of having the National Sports Stadium ready for international football matches 
Sports,"
					Bayern Munich labelled sore losers making up stuff about match officials				",https://www.thezimbabwemail.com/sports/bayern-munich-labelled-sore-losers-making-up-stuff-about-match-officials/,MADRID -Bayern Munich defender Matthijs de Ligt revealed that the linesman apologized to him for 
Business,"
					Mangudya Sets Ambitious Goals for State-Owned Enterprises Under MIF				",https://www.thezimbabwemail.com/business/mangudya-sets-ambitious-goals-for-state-owned-enterprises-under-mif/,"HARARE – Zimbabwe’s state-owned enterprises (SOEs), John Mangudya, Chief Executive Officer of the MUTAPA Investment "
Business,"
					Businesses Urged to Shift Towards ZiG Payments as Tax Deadline Approaches				",https://www.thezimbabwemail.com/business/businesses-urged-to-shift-towards-zig-payments-as-tax-deadline-approaches/,"HARARE – As Zimbabwe prepares for its upcoming quarterly tax deadline, businesses face a significant "
Business,"
					Challenges Mount for Business Amid Forex Scarcity				",https://www.thezimbabwemail.com/business/challenges-mount-for-business-amid-forex-scarcity/,HARARE – Businesses in Zimbabwe are facing significant hurdles in securing foreign currency from banks 
Business,"
					London listed Ariana Resources Reports Significant Value Increase in Dokwe Project				",https://www.thezimbabwemail.com/business/london-listed-ariana-resources-reports-significant-value-increase-in-dokwe-project/,Ariana Resources PLC has announced a substantial increase in the value of its Dokwe project 
Business,"
					Wholesalers Embrace ZiG Currency, Streamlining Trade Across Production and Retail Chain				",https://www.thezimbabwemail.com/business/wholesalers-embrace-zig-currency-streamlining-trade-across-production-and-retail-chain/,"HARARE – In a significant development, wholesalers have seamlessly integrated their systems with the newly "
Business,"
					Iconic Meikles Hotel in Harare Renamed Hyatt Regency After Five-Year Acquisition				",https://www.thezimbabwemail.com/business/iconic-meikles-hotel-in-harare-renamed-hyatt-regency-after-five-year-acquisition/,"Harare – Zimbabwe’s renowned Meikles Hotel, a historic landmark in the heart of Harare, has "
Business,"
					PwC to Exit Zimbabwe as Deloitte’s Departure Sets Industry Precedent				",https://www.thezimbabwemail.com/business/pwc-to-exit-zimbabwe-as-deloittes-departure-sets-industry-precedent/,"HARARE – PriceWaterhouseCoopers (PwC), one of the globe’s leading accountancy firms, is slated to withdraw "
Business,"
					New Charter Airline Plans London-Harare Flights by June				",https://www.thezimbabwemail.com/business/new-charter-airline-plans-london-harare-flights-by-june/,"LONDON, UK – A UK-based virtual carrier, Fly Phoenix Direct Limited, is set to inaugurate "
Business,"
					RBZ Governor Threatens Supermarkets with Licence Revocation Over Exchange Rate Violations				",https://www.thezimbabwemail.com/business/rbz-governor-threatens-supermarkets-with-licence-revocation-over-exchange-rate-violations/,HARARE – Reserve Bank of Zimbabwe (RBZ) Governor John Mushayavhanu has issued a stern warning 
Business,"
					Zimbabwean Businesses Encouraged to Seize Opportunities in Iran’s Economic Diplomatic Offensive				",https://www.thezimbabwemail.com/business/zimbabwean-businesses-encouraged-to-seize-opportunities-in-irans-economic-diplomatic-offensive/,"Zimbabwe’s Ambassador to Iran, Bright Kupemba, has urged Zimbabwean businesses to capitalize on the opportunities "
Entertainment,"
					Sean “Diddy” Combs Seeks Dismissal of Rape Lawsuit, Denounces Allegations as False				",https://www.thezimbabwemail.com/entertainment/sean-diddy-combs-seeks-dismissal-of-rape-lawsuit-denounces-allegations-as-false/,NEW YORK – Sean “Diddy” Combs has made a legal move to dismiss a lawsuit 
Entertainment,"
					Drake vs Kendrick Lamar: The explosive rap battle that has shook the hip-hop world				",https://www.thezimbabwemail.com/entertainment/drake-vs-kendrick-lamar-the-explosive-rap-battle-that-has-shook-the-hip-hop-world/,"THE longstanding feud between hip-hop heavyweights Drake and Kendrick Lamar has ignited once again, marking "
Entertainment,"
					Justin and Hailey Bieber Expecting First Child and Renew Vows				",https://www.thezimbabwemail.com/entertainment/justin-and-hailey-bieber-expecting-first-child-and-renew-vows/,NEW YORK — The anticipation is as high as the notes in his 2010 chart-topper 
Entertainment,"
					Janet Jackson’s Career Journey to Be Immortalized in New Comic Book Release				",https://www.thezimbabwemail.com/entertainment/janet-jacksons-career-journey-to-be-immortalized-in-new-comic-book-release/,"LOS ANGELES,- TidalWave Comics is set to launch a captivating new comic book that promises "
Entertainment,"
					Drake Denies Allegations of Underage Relationships and Secret Love Child Amidst Feud with Kendrick Lamar				",https://www.thezimbabwemail.com/entertainment/drake-denies-allegations-of-underage-relationships-and-secret-love-child-amidst-feud-with-kendrick-lamar/,TORONTO — The ongoing feud between Drake and Kendrick Lamar has taken a controversial turn 
Entertainment,"
					Security Guard Injured in Shooting Incident at Drake’s Toronto Mansion				",https://www.thezimbabwemail.com/entertainment/security-guard-injured-in-shooting-incident-at-drakes-toronto-mansion/,"Toronto, Canada – A shooting incident occurred at Canadian rapper Drake’s mansion in Toronto in "
Entertainment,"
					Madonna attracts 1.6 million to free concert at Brazil’s Copacabana beach				",https://www.thezimbabwemail.com/entertainment/madonna-attracts-1-6-million-to-free-concert-at-brazils-copacabana-beach/,"RIO DE JANEIRO,- More than a million people thronged Brazil’s Copacabana beach for a free "
Entertainment,"
					Mary J. Blige enlists Taraji P. Henson, Tiffany Haddish and more for women’s summit in New York				",https://www.thezimbabwemail.com/entertainment/mary-j-blige-enlists-taraji-p-henson-tiffany-haddish-and-more-for-womens-summit-in-new-york/,LOS ANGELES — Mary J. Blige is bringing her mission to empower women beyond her 
Entertainment,"
					The Rolling Stones show no signs of slowing down as they begin their latest tour				",https://www.thezimbabwemail.com/entertainment/the-rolling-stones-show-no-signs-of-slowing-down-as-they-begin-their-latest-tour/,HOUSTON — Time marches on and all good things must come to an end. But 
Entertainment,"
					Chicago appeals court rejects R. Kelly ‘s challenge of 20-year sentence				",https://www.thezimbabwemail.com/entertainment/chicago-appeals-court-rejects-r-kelly-s-challenge-of-20-year-sentence/,CHICAGO — The singer R. Kelly was correctly sentenced to 20 years in prison on 
Politics,"
					Zanu PF’s Bid to Extend Mnangagwa’s Presidency Sparks Concerns				",https://www.thezimbabwemail.com/main/zanu-pfs-bid-to-extend-mnangagwas-presidency-sparks-concerns/,HARARE – Recent remarks by President Emmerson Mnangagwa suggesting a desire to “rule forever” have 
Politics,"
					Mutsvangwa Accuses Chiwenga For His Son’s Arrest				",https://www.thezimbabwemail.com/politics/mutsvangwa-accuses-chiwenga-for-his-sons-arrest/,"Harare,— In an unprecedented move, Zanu PF spokesman Chris Mutsvangwa launched a scathing attack on "
Politics,"
					Ramaphosa Defends ANC’s Invitation to ZANU PF Amid Opposition Backlash				",https://www.thezimbabwemail.com/main/ramaphosa-defends-ancs-invitation-to-zanu-pf-amid-opposition-backlash/,JOAHHENSBURG – South African President Cyril Ramaphosa has brushed off criticism from opposition parties regarding 
Politics,"
					South African opposition in panic mode over Zanu PF-ANC team work				",https://www.thezimbabwemail.com/politics/south-african-opposition-in-panic-mode-over-zanu-pf-assisting-anc/,"JOHANNESBURG – South Africa’s official opposition, the Democratic Alliance (DA), has leveled accusations against the "
